f[Hz],a[cm/s^2]
0.0,0.000116
0.003904191149,9.374226933e-05
0.007808382298,0.0001108094951
0.01171257345,0.0001373810998
0.0156167646,0.0001987152971
0.01952095575,0.0002602368423
0.0234251469,0.0008464312697
0.02732933804,0.002388936268
0.03123352919,0.001933872147
0.03513772034,0.001454860984
0.03904191149,0.006141658719
0.04294610264,0.007151045238
0.04685029379,0.01333222542
0.05075448494,0.01207806619
0.05465867609,0.02643758451
0.05856286724,0.05402038397
0.06246705839,0.05117059072
0.06637124954,0.03053635653
0.07027544069,0.05559747856
0.07417963183,0.06619052779
0.07808382298,0.1722660662
0.08198801413,0.3078762413
0.08589220528,0.3638665834
0.08979639643,0.4009487436
0.09370058758,0.4525670461
0.09760477873,0.2244364598
0.1015089699,0.154266267
0.105413161,0.3440959279
0.1093173522,0.6543838896
0.1132215433,0.5609486953
0.1171257345,0.326990853
0.1210299256,0.8260732742
0.1249341168,0.5577062296
0.1288383079,0.5134551943
0.1327424991,0.6819909987
0.1366466902,1.396597618
0.1405508814,0.7787519115
0.1444550725,0.1277836519
0.1483592637,1.238884273
0.1522634548,0.6947473959
0.156167646,0.9762081674
0.1600718371,0.3799781056
0.1639760283,1.409971988
0.1678802194,0.464021132
0.1717844106,2.261119228
0.1756886017,1.140406237
0.1795927929,0.4938492817
0.183496984,0.4898218725
0.1874011752,0.9595361231
0.1913053663,1.599563692
0.1952095575,2.862136588
0.1991137486,4.547398868
0.2030179398,2.184821711
0.2069221309,0.3864499228
0.2108263221,3.025300564
0.2147305132,4.763757537
0.2186347044,1.598033554
0.2225388955,2.744623993
0.2264430867,1.621511365
0.2303472778,1.8576533
0.234251469,1.812341272
0.2381556601,4.510905969
0.2420598513,6.341498624
0.2459640424,7.172042366
0.2498682335,4.991568764
0.2537724247,1.571617386
0.2576766158,4.832914534
0.261580807,8.461122256
0.2654849981,6.540559347
0.2693891893,6.404142694
0.2732933804,8.276453636
0.2771975716,5.690149157
0.2811017627,8.686262319
0.2850059539,5.404465739
0.288910145,2.622819846
0.2928143362,4.253667367
0.2967185273,8.850435912
0.3006227185,15.70382984
0.3045269096,10.60383024
0.3084311008,7.26004761
0.3123352919,10.98080234
0.3162394831,15.32075198
0.3201436742,11.45862076
0.3240478654,7.437295813
0.3279520565,19.06342657
0.3318562477,11.94391206
0.3357604388,4.021097128
0.33966463,10.25123644
0.3435688211,21.46300554
0.3474730123,19.2588923
0.3513772034,8.85559402
0.3552813946,6.098513044
0.3591855857,8.944513761
0.3630897769,12.66590029
0.366993968,2.512706694
