f[Hz],a[g]
0.0,-0.2931384357
0.05005005005,0.3957507901
0.1001001001,0.0
0.1501501502,0.0
0.2002002002,0.0
0.2502502503,-39.87570452
0.3003003003,-0.833966497
0.3503503504,25.83819474
0.4004004004,54.98992381
0.4504504505,-41.97584425
0.5005005005,64.69790157
0.5505505506,-56.77151952
0.6006006006,-21.73480901
0.6506506507,72.56179214
0.7007007007,-4.752386654
0.7507507508,-42.37512579
0.8008008008,11.16546155
0.8508508509,41.65759674
0.9009009009,5.617691702
0.950950951,-55.43286494
1.001001001,31.24120286
1.051051051,37.34438721
1.101101101,85.94899715
1.151151151,-56.90723221
1.201201201,-3.3496679
1.251251251,20.8671954
1.301301301,-1.267393948
1.351351351,-66.4377302
1.401401401,55.22254017
1.451451451,26.27672569
1.501501502,-84.52061397
1.551551552,35.94808917
1.601601602,-104.0609122
1.651651652,18.40949171
1.701701702,46.32191477
1.751751752,-4.071421376
1.801801802,-16.71250571
1.851851852,33.91819683
1.901901902,-12.96812422
1.951951952,-33.27683226
2.002002002,-1.060033804
2.052052052,42.57430228
2.102102102,-11.83058572
2.152152152,-18.02119873
2.202202202,6.17875431
2.252252252,15.33334392
2.302302302,-3.649628007
2.352352352,-31.37269665
2.402402402,19.94584531
2.452452452,20.90391923
2.502502503,-32.43761013
2.552552553,12.93160775
2.602602603,15.00638354
2.652652653,0.9155511853
2.702702703,-52.7434014
2.752752753,37.64158621
2.802802803,20.45503408
2.852852853,0.1071567037
2.902902903,60.5761349
2.952952953,-51.02016193
3.003003003,-31.48911996
3.053053053,18.87382749
3.103103103,5.870034576
3.153153153,-9.438800028
3.203203203,30.99363863
3.253253253,1.300502007
3.303303303,-25.8904894
3.353353353,-16.80762304
3.403403403,28.59457061
3.453453453,12.76035175
3.503503504,-18.00399652
3.553553554,-17.39063084
3.603603604,23.42158031
3.653653654,10.77507977
3.703703704,-39.92614355
3.753753754,60.33208009
3.803803804,-54.28502752
3.853853854,17.11650276
3.903903904,3.893964334
3.953953954,21.42117055
4.004004004,-26.61551896
4.054054054,-8.193842559
4.104104104,32.18865513
4.154154154,-13.99039031
4.204204204,-4.350954419
4.254254254,-6.220549841
4.304304304,-11.61996514
4.354354354,68.96263307
4.404404404,-32.83563947
4.454454454,6.139580682
4.504504505,10.57291959
4.554554555,-16.83570627
4.604604605,-3.323723975
4.654654655,17.97111741
4.704704705,-5.727428735
4.754754755,-4.973623001
4.804804805,35.75115118
4.854854855,-37.74711595
4.904904905,-8.326409218
4.954954955,13.23422896
5.005005005,8.521688973
5.055055055,-3.914132535
5.105105105,-6.678212564
5.155155155,5.846223289
5.205205205,-6.962173097
5.255255255,-7.750013628
5.305305305,15.93669285
5.355355355,0.04455383642
5.405405405,-0.1799195141
5.455455455,-1.701944569
5.505505506,-7.682940438
5.555555556,-22.74503999
5.605605606,24.54923118
5.655655656,6.71333521
5.705705706,-5.404009474
5.755755756,-12.71433979
5.805805806,16.30042358
5.855855856,-7.80423102
5.905905906,4.783636106
5.955955956,-6.019549837
6.006006006,8.322346339
6.056056056,-3.857823928
6.106106106,-5.680597844
6.156156156,-0.2220994715
6.206206206,6.715267552
6.256256256,-0.3427431198
6.306306306,-0.8348651284
6.356356356,3.442144127
6.406406406,-7.46948962
6.456456456,-0.7010613225
6.506506507,6.375521651
6.556556557,3.735286308
6.606606607,-8.676530239
6.656656657,1.657051731
6.706706707,-1.551193961
6.756756757,3.103569951
6.806806807,5.640117724
6.856856857,-7.037692536
6.906906907,1.291721794
6.956956957,1.76486746
7.007007007,-5.416347217
7.057057057,5.279063642
7.107107107,-1.654579444
7.157157157,-2.912511155
7.207207207,5.646428431
7.257257257,0.2978841391
7.307307307,-5.197950733
7.357357357,-0.5006954507
7.407407407,6.580028153
7.457457457,-4.715768735
7.507507508,-1.677037823
7.557557558,4.006312838
7.607607608,0.4252487776
7.657657658,-4.22735256
7.707707708,2.716269406
7.757757758,1.182606242
7.807807808,-1.409342378
7.857857858,-1.192402789
7.907907908,1.620105116
7.957957958,-2.597949504
8.008008008,0.2561932913
8.058058058,3.027588065
8.108108108,-0.5510195399
8.158158158,-0.6032699268
8.208208208,-0.9494689435
8.258258258,2.586071436
8.308308308,-2.182718642
8.358358358,-1.093391855
8.408408408,2.402338257
8.458458458,0.6352145907
8.508508509,-2.964616344
8.558558559,0.7331813856
8.608608609,1.519936335
8.658658659,-0.6149118946
8.708708709,-1.139941564
8.758758759,1.61038028
8.808808809,0.3973305313
8.858858859,-2.564347845
8.908908909,2.010070389
8.958958959,-1.018908467
9.009009009,-0.8724760761
9.059059059,1.366628271
9.109109109,1.30449846
9.159159159,-1.825647498
9.209209209,1.332628351
9.259259259,-0.7179739093
9.309309309,-2.291363004
9.359359359,5.990591984
9.409409409,-2.855981511
9.459459459,-2.218115944
9.50950951,1.853359168
9.55955956,-1.114273738
9.60960961,-1.531155256
9.65965966,1.163287652
9.70970971,3.961521611
9.75975976,-5.057744289
9.80980981,1.772645946
9.85985986,2.127124967
9.90990991,-1.88781017
9.95995996,-1.986111089
10.01001001,5.628945915
10.06006006,-3.457462297
10.11011011,-4.026614051
10.16016016,1.414681851
10.21021021,4.30776731
10.26026026,4.109124034
10.31031031,-7.14395413
10.36036036,1.629095599
10.41041041,-0.8483171877
10.46046046,0.3578223509
10.51051051,1.129098415
10.56056056,-3.39619037
10.61061061,0.4878255115
10.66066066,4.101300524
10.71071071,-2.08775803
10.76076076,-1.805421357
10.81081081,2.406923236
10.86086086,-1.963175171
10.91091091,4.961013484
10.96096096,-4.294842469
11.01101101,-2.65423335
11.06106106,8.470190095
11.11111111,-2.903557073
11.16116116,-6.653194717
11.21121121,-2.274198637
11.26126126,7.229056486
11.31131131,0.7562309665
