f[Hz],a[g]
0.0,0.01154097481
0.05005005005,0.2788864736
0.1001001001,0.0
0.1501501502,0.0
0.2002002002,0.0
0.2502502503,-8.212573281
0.3003003003,36.7323077
0.3503503504,-29.15361249
0.4004004004,45.68575531
0.4504504505,-30.06745838
0.5005005005,71.64744463
0.5505505506,20.4226367
0.6006006006,-8.802217306
0.6506506507,-40.59587254
0.7007007007,48.46085032
0.7507507508,69.70855176
0.8008008008,-27.04116385
0.8508508509,145.8149482
0.9009009009,-48.38826832
0.950950951,-21.74852008
1.001001001,58.4256047
1.051051051,-33.09466291
1.101101101,-9.224834135
1.151151151,58.65322155
1.201201201,-16.11617993
1.251251251,-49.12447692
1.301301301,46.39245125
1.351351351,-2.905967671
1.401401401,-27.4560525
1.451451451,15.01869601
1.501501502,15.35964734
1.551551552,-25.21751562
1.601601602,-7.94562525
1.651651652,53.82450784
1.701701702,-33.29119951
1.751751752,-35.47242043
1.801801802,52.85195972
1.851851852,-65.45740333
1.901901902,-6.153509472
1.951951952,58.08388328
2.002002002,-31.95885508
2.052052052,-33.18823219
2.102102102,-11.72274747
2.152152152,-1.949628311
2.202202202,52.70793368
2.252252252,-13.63767874
2.302302302,-48.66446748
2.352352352,-44.6204274
2.402402402,40.70226983
2.452452452,17.83527896
2.502502503,-2.150488885
2.552552553,35.4541499
2.602602603,-15.78309629
2.652652653,-22.32167796
2.702702703,7.974903063
2.752752753,13.13616555
2.802802803,-1.107916075
2.852852853,-8.555844415
2.902902903,11.88030925
2.952952953,-2.115396136
3.003003003,-30.56772087
3.053053053,5.854036701
3.103103103,56.72419091
3.153153153,-24.34203525
3.203203203,15.0298646
3.253253253,-8.102793463
3.303303303,7.631898739
3.353353353,0.3232897045
3.403403403,-13.25458473
3.453453453,-8.393844506
3.503503504,27.76002832
3.553553554,-12.81782393
3.603603604,0.3851171691
3.653653654,-0.5634060054
3.703703704,-7.164596406
3.753753754,11.24185805
3.803803804,7.790873594
3.853853854,-31.40460496
3.903903904,11.77922509
3.953953954,22.50615902
4.004004004,3.38392957
4.054054054,-3.586946443
4.104104104,-19.54548727
4.154154154,13.04546326
4.204204204,7.647221764
4.254254254,-39.10518243
4.304304304,39.70057053
4.354354354,5.601925527
4.404404404,-1.11805977
4.454454454,-16.25974239
