t[s],a[g]
4.88,0.03607303571
4.9,-0.2138034872
4.92,-0.7744099783
4.94,-1.300705575
4.96,-0.9517208136
4.98,-0.8282654138
5.0,-0.3279634716
5.02,0.2005852197
5.04,0.305353247
5.06,0.9499909888
5.08,0.9454394624
5.1,0.4536592772
5.12,0.4091534429
5.14,0.1720251036
5.16,0.01208347321
5.18,-0.08989011552
5.2,0.09114312888
5.22,0.6903401001
5.24,0.5020475082
5.26,0.2007273356
5.28,0.1799693087
5.3,-0.4246035688
5.32,-0.6475273016
5.34,-0.08414342959
5.36,0.4420007826
5.38,0.2466879541
5.4,0.2262865898
5.42,0.4477448131
5.44,0.3990558454
5.46,0.3359839068
5.48,0.5223731527
5.5,0.7879491416
5.52,0.7575428872
5.54,0.1673288526
5.56,-0.2278218422
5.58,-0.1636507203
5.6,-0.3165674825
5.62,-0.2934145247
5.64,-0.19458969
5.66,-0.1956556477
5.68,-0.6064974103
5.7,-0.8779782039
5.72,-0.4891839342
5.74,-0.3750018283
5.76,-0.2523712205
5.78,-0.1866650662
5.8,-0.1979022784
5.82,-0.0008641080455
5.84,0.1168371661
5.86,0.04055022017
5.88,0.1697272906
5.9,0.2329791734
5.92,0.2108563354
5.94,0.05981210387
5.96,0.1532652238
5.98,0.6522044622
6.0,0.5377671416
6.02,0.5612989763
6.04,1.178630027
6.06,1.277045432
6.08,0.9512014551
6.1,0.8565594024
6.12,0.5637771862
6.14,0.2873793388
6.16,0.2269618422
6.18,0.317543094
6.2,0.6349022346
6.22,0.5757466025
6.24,0.2260890717
6.26,0.2001535384
6.28,0.07739083431
6.3,0.03484103868
6.32,-0.0208861591
6.34,-0.5033554058
6.36,-0.8936650161
6.38,-1.286272216
6.4,-1.48929198
6.42,-1.565905313
6.44,-1.522877614
6.46,-1.045346001
6.48,-0.9237174612
6.5,-1.151159075
6.52,-0.958322206
6.54,-0.9149403127
6.56,-0.6903343745
6.58,-0.2544046302
6.6,-0.2824458374
6.62,-0.3329139752
6.64,-0.2830271996
6.66,-0.1376473131
6.68,-0.1931608871
6.7,-0.3764204636
6.72,0.0563993993
6.74,0.3933009133
6.76,0.2276758965
6.78,0.06455808425
6.8,0.08178892917
6.82,0.04401465232
6.84,-0.06698821947
6.86,0.2054037127
6.88,0.8936972037
6.9,1.085743138
6.92,0.7698739887
6.94,0.6686657682
6.96,0.4814994329
6.98,-0.08626912871
7.0,-0.5601026366
7.02,-0.6162901437
7.04,-0.4306042508
7.06,0.07041218557
7.08,0.6210403697
7.1,0.6822239705
7.12,0.712779501
7.14,0.6173623431
7.16,0.5524177027
7.18,0.838022048
7.2,0.8123723221
7.22,0.9281109035
7.24,0.8511625025
7.26,0.2539114451
7.28,-0.2753074402
7.3,-0.4812985389
7.32,-0.3924140084
7.34,-0.04761519939
7.36,0.06039834433
7.38,0.1264666335
7.4,0.2037641223
7.42,0.05914753917
7.44,-0.1663921591
7.46,0.01001414214
7.48,0.09992298765
7.5,-0.2712091306
7.52,-0.4716636254
7.54,-0.5728722253
7.56,-0.7592346135
7.58,-0.6310677708
7.6,-0.7996066709
7.62,-0.5066718015
7.64,0.1496326859
7.66,0.07512976618
7.68,0.3657570811
7.7,0.5757243629
7.72,0.1068120256
7.74,0.2918224507
7.76,0.4770059721
7.78,0.3980583831
7.8,0.7834783211
7.82,0.7177484477
7.84,0.4145381073
7.86,0.2797223732
7.88,0.006071871616
7.9,0.04912770165
7.92,0.1336945906
7.94,0.3300833249
7.96,0.381344749
