t[s],a[g]
4.88,0.1013140316
4.9,-0.1707217767
4.92,-0.5794421825
4.94,-1.057376271
4.96,-0.5609262167
4.98,-0.2846443775
5.0,-0.1169894374
5.02,0.2644728293
5.04,0.4768046712
5.06,0.9431231017
5.08,0.858756014
5.1,0.505798719
5.12,0.3900159887
5.14,0.09195285579
5.16,0.0654724538
5.18,-0.1729824546
5.2,-0.1601782249
5.22,0.5081671486
5.24,0.3275535521
5.26,0.1599343453
5.28,0.2104836818
5.3,-0.4233223186
5.32,-0.4565804813
5.34,0.02717711377
5.36,0.3294605249
5.38,0.1275686421
5.4,0.1655374499
5.42,0.494841201
5.44,0.453901007
5.46,0.4627351351
5.48,0.7195051593
5.5,0.9198593058
5.52,1.085595738
5.54,0.5555686303
5.56,0.02144038087
5.58,0.1750299301
5.6,-0.01215903843
5.62,-0.1454939795
5.64,-0.1935961371
5.66,-0.2904601549
5.68,-0.7543139001
5.7,-1.135553901
5.72,-0.6603361566
5.74,-0.4447858948
5.76,-0.2719297329
5.78,-0.0326434788
5.8,-0.02055330685
5.82,0.1297835736
5.84,0.3098600053
5.86,0.2411052036
5.88,0.2752340575
5.9,0.1853918024
5.92,0.146086656
5.94,-0.03820308866
5.96,-0.08789862003
5.98,0.3497929766
6.0,0.15019144
6.02,0.184171041
6.04,0.8530041558
6.06,0.868555112
6.08,0.5763123036
6.1,0.6421375552
6.12,0.4095563327
6.14,0.2119373988
6.16,0.2992358257
6.18,0.3671549328
6.2,0.6763232886
6.22,0.6999817465
6.24,0.05351746205
6.26,-0.1923589624
6.28,-0.1446426314
6.3,-0.2814771667
6.32,-0.501082689
6.34,-0.8803347218
6.36,-1.165607649
6.38,-1.424924863
6.4,-1.486800517
6.42,-1.671722418
6.44,-1.637417759
6.46,-0.8449747099
6.48,-0.7455282492
6.5,-1.198336467
6.52,-0.8887263735
6.54,-0.9097457491
6.56,-0.7375407534
6.58,-0.1641441777
6.6,-0.3543531698
6.62,-0.3751892905
6.64,-0.09405124098
6.66,0.04108698285
6.68,0.01237273442
6.7,0.005405451748
6.72,0.5267197548
6.74,0.7721847424
6.76,0.6569058062
6.78,0.4798662845
6.8,0.3443245057
6.82,0.4213583401
6.84,0.1676434788
6.86,0.1837270022
6.88,0.9515836536
6.9,0.9781205185
6.92,0.5530519232
6.94,0.5002887918
6.96,0.3016948214
6.98,-0.05552199774
7.0,-0.5631051296
7.02,-0.7552371446
7.04,-0.4497013015
7.06,0.1879337007
7.08,0.8629450356
7.1,0.7812135156
7.12,0.7241663078
7.14,0.792274596
7.16,0.7350832676
7.18,0.854195119
7.2,0.5977321789
7.22,0.7178299392
7.24,0.617398478
7.26,-0.03999550045
7.28,-0.5051381229
7.3,-0.8307160298
7.32,-0.6006223355
7.34,-0.1066101742
7.36,-0.2062249689
7.38,0.04590037469
7.4,0.1967049446
7.42,0.01129510795
7.44,-0.08979382247
7.46,-0.1185353682
7.48,-0.008383699995
7.5,-0.303607026
7.52,-0.737376398
7.54,-0.8770955235
7.56,-1.081578361
7.58,-0.8475211376
7.6,-0.9420487947
7.62,-0.682333305
7.64,0.07670074895
7.66,-0.008363819349
7.68,0.3955057102
7.7,0.6441842307
7.72,0.01036213872
7.74,0.3456991648
7.76,0.6197435825
7.78,0.4586260915
7.8,0.8656752825
7.82,0.9105896179
7.84,0.7505958657
7.86,0.5436063938
7.88,0.2437091093
7.9,0.2594068921
7.92,0.2044817298
7.94,0.5136889053
7.96,0.4191132143
7.98,-0.161870026
8.0,-0.3569130042
8.02,-0.2540939712
8.04,-0.1674941525
8.06,-0.08505246464
8.08,0.1663419189
8.1,0.4123736738
8.12,0.3884221938
8.14,0.3706413819
8.16,0.4835893023
8.18,0.03793940713
8.2,0.08888270382
8.22,0.3897428614
8.24,0.04675002433
8.26,-0.03874772648
8.28,0.06524497401
8.3,-0.2606383831
8.32,-0.3221392508
8.34,0.2199154848
8.36,0.6672337303
8.38,0.5242236825
8.4,0.1627016973
8.42,0.2245279444
8.44,0.2897478025
8.46,-0.2391679729
8.48,-0.7532840476
8.5,-0.9304936538
8.52,-0.8537589785
8.54,-0.5140088398
8.56,-0.4938063321
8.58,-0.847035276
8.6,-0.8225313224
8.62,-0.3258191195
8.64,-0.1120014203
8.66,-0.1700854014
8.68,-0.01224227665
8.7,-0.1373612491
8.72,-0.326294832
8.74,-0.4916512829
8.76,-1.03866037
8.78,-0.8152301522
8.8,-0.2777730723
8.82,-0.3072029725
8.84,-0.3504904574
8.86,-0.4380309719
8.88,-0.5031486706
8.9,-0.573099068
8.92,-0.671465593
8.94,-0.2440003049
8.96,-0.04259671078
8.98,0.0977805366
9.0,0.2606618957
9.02,0.01072714407
9.04,-0.02696328065
9.06,0.0787900013
9.08,0.1295382152
9.1,0.1602093876
9.12,0.2400269834
9.14,0.4720318494
9.16,0.4234912968
9.18,-0.0308436554
9.2,-0.1257880099
9.22,-0.05402814741
9.24,0.04157048013
9.26,-0.01903671701
9.28,-0.1036404786
9.3,0.08376849416
9.32,0.4143327888
9.34,0.7690379062
9.36,0.6810170368
9.38,0.489225949
9.4,0.5644738563
9.42,0.2529493086
9.44,0.09363410596
9.46,0.1155533139
9.48,-0.0421340466
9.5,0.2902753803
9.52,0.5075536521
9.54,0.3869829142
9.56,0.01234139618
9.58,-0.2755044563
9.6,-0.10773552
9.62,-0.1619612166
9.64,-0.3554375183
9.66,-0.355301825
9.68,-0.240933759
9.7,0.1089761916
9.72,-0.0009317421152
9.74,-0.3341389343
9.76,-0.3416057939
9.78,-0.2819712684
9.8,0.02953059762
9.82,0.00133129004
9.84,-0.3474532104
9.86,-0.08066396264
9.88,0.1640706932
9.9,0.2054113619
9.92,0.1854782254
9.94,0.3105738363
9.96,0.5108329499
9.98,0.2882196017
10.0,0.334797312
10.02,0.2714011777
10.04,-0.1027487947
10.06,0.1421190955
10.08,0.05246373583
10.1,-0.2179897437
10.12,0.04657319216
10.14,0.12012584
10.16,-0.1101645423
10.18,-0.2549074479
10.2,-0.1501419668
10.22,0.1862314517
10.24,0.5598419364
10.26,0.8277474036
10.28,0.8306712157
10.3,0.8037843305
10.32,0.6016574718
10.34,0.2625309162
10.36,0.3174212641
10.38,0.1952665036
10.4,0.1489910859
10.42,0.5117130181
10.44,0.4453613927
10.46,0.2223645848
10.48,0.3379719745
10.5,0.3981521397
10.52,0.2197925122
10.54,0.163466089
10.56,0.1232942253
10.58,-0.2064477054
10.6,-0.1997795306
10.62,-0.1017084373
10.64,-0.1284831602
10.66,0.1856653855
10.68,0.1438484577
10.7,-0.1254336528
10.72,0.04748604803
10.74,-0.134038722
10.76,-0.3649587075
