f[Hz],a[cm/s^2]
0.0,0.000139
0.003957339876,0.0003577834644
0.007914679752,0.0001163560218
0.01187201963,0.001070797713
0.0158293595,0.0004171736427
0.01978669938,0.003922148803
0.02374403926,0.00478267717
0.02770137913,0.01254338409
0.03165871901,0.01454958427
0.03561605889,0.007903770892
0.03957339876,0.05697206771
0.04353073864,0.03230424477
0.04748807851,0.07544980103
0.05144541839,0.03189673021
0.05540275827,0.06423830414
0.05936009814,0.3535624372
0.06331743802,0.5289245122
0.06727477789,0.3376162103
0.07123211777,0.8005812866
0.07518945765,0.6673186735
0.07914679752,0.3685772683
0.0831041374,0.8742479599
0.08706147727,0.941044095
0.09101881715,0.5597520015
0.09497615703,1.170275313
0.0989334969,1.097347462
0.1028908368,1.902033539
0.1068481767,2.215661158
0.1108055165,1.101047251
0.1147628564,2.194044977
0.1187201963,3.631449518
0.1226775362,4.470135094
0.126634876,3.812381661
0.1305922159,1.865599425
0.1345495558,1.239960957
0.1385068957,1.032149101
0.1424642355,0.6748745435
0.1464215754,1.765975426
0.1503789153,3.314016406
0.1543362552,3.328628711
0.158293595,3.765753821
0.1622509349,6.872488698
0.1662082748,3.437299573
0.1701656147,1.683425346
0.1741229545,0.5253006775
0.1780802944,4.820123609
0.1820376343,1.939067106
0.1859949742,4.119512797
0.1899523141,3.47416836
0.1939096539,2.019425899
0.1978669938,3.695459612
0.2018243337,5.150417837
0.2057816736,5.130875411
0.2097390134,5.107427609
0.2136963533,0.5069823968
0.2176536932,6.153094415
0.2216110331,8.344321479
0.2255683729,2.408459744
0.2295257128,17.75309915
0.2334830527,13.04825408
0.2374403926,9.321400712
0.2413977324,10.83494982
0.2453550723,6.306264256
0.2493124122,10.59267815
0.2532697521,14.37456973
0.2572270919,6.537283498
0.2611844318,0.9392002445
0.2651417717,4.932274087
0.2690991116,5.524695676
0.2730564515,4.306005352
0.2770137913,16.78611979
0.2809711312,23.84703684
0.2849284711,24.76186797
0.288885811,15.37473071
0.2928431508,17.58783433
0.2968004907,33.77558622
0.3007578306,27.26234977
0.3047151705,25.30978441
0.3086725103,32.68327203
0.3126298502,18.21633512
0.3165871901,23.08221825
0.32054453,18.75085874
0.3245018698,13.28939948
0.3284592097,30.53929835
0.3324165496,33.68563947
0.3363738895,44.62546026
0.3403312293,28.05794095
0.3442885692,36.87856867
0.3482459091,18.70045799
0.352203249,18.95344955
0.3561605889,27.44460965
0.3601179287,8.661284611
0.3640752686,27.98735201
0.3680326085,12.98816848
0.3719899484,15.96240339
0.3759472882,29.6812124
0.3799046281,20.52762995
0.383861968,23.06666306
0.3878193079,16.91234416
0.3917766477,36.02282732
0.3957339876,27.11503194
0.3996913275,18.68177638
0.4036486674,17.9259401
0.4076060072,10.2518075
0.4115633471,36.42526235
0.415520687,28.65463869
0.4194780269,10.60734155
0.4234353667,26.07821028
0.4273927066,22.35659138
0.4313500465,16.2082476
0.4353073864,18.51733201
0.4392647263,19.0646912
0.4432220661,31.08311647
0.447179406,49.53005433
0.4511367459,29.57509979
0.4550940858,24.57547464
0.4590514256,15.83654741
0.4630087655,32.48006827
0.4669661054,29.88634983
0.4709234453,31.26075079
0.4748807851,26.43934445
0.478838125,7.193286751
0.4827954649,3.51239413
0.4867528048,31.47563416
0.4907101446,24.2762234
0.4946674845,15.1025158
0.4986248244,19.31517357
0.5025821643,4.01073006
0.5065395041,10.42679118
0.510496844,13.83913357
0.5144541839,21.45791865
0.5184115238,18.59191722
0.5223688636,14.91438449
0.5263262035,26.48830972
0.5302835434,38.18276313
0.5342408833,34.12556276
0.5381982232,20.79528957
0.542155563,9.324237974
0.5461129029,33.31194819
0.5500702428,26.21929298
0.5540275827,37.07008168
0.5579849225,16.02589564
0.5619422624,57.97144682
0.5658996023,43.45561
0.5698569422,33.90908507
0.573814282,33.5877704
0.5777716219,34.41924661
0.5817289618,50.76137114
0.5856863017,51.29493454
0.5896436415,32.59473268
0.5936009814,13.29759011
0.5975583213,31.05050721
0.6015156612,51.86614879
0.605473001,54.40335782
0.6094303409,43.57607321
0.6133876808,32.27797045
0.6173450207,34.43636785
0.6213023606,20.06657746
0.6252597004,16.35105768
0.6292170403,14.63118672
0.6331743802,18.25001226
0.6371317201,30.11425729
0.6410890599,41.56458962
0.6450463998,78.57447976
0.6490037397,70.40239052
0.6529610796,40.44134668
0.6569184194,14.68744172
0.6608757593,28.76061554
0.6648330992,25.83633416
0.6687904391,33.90704632
0.6727477789,25.51567389
0.6767051188,11.89724206
0.6806624587,15.47293114
0.6846197986,46.55966115
0.6885771384,39.11163759
0.6925344783,35.27441468
0.6964918182,41.66562156
0.7004491581,24.84316425
0.704406498,34.24461358
0.7083638378,49.36611227
0.7123211777,59.73575723
0.7162785176,37.11596715
0.7202358575,34.03489996
0.7241931973,47.19968536
0.7281505372,54.70598712
0.7321078771,54.30749476
0.736065217,40.06448773
0.7400225568,20.06513892
0.7439798967,44.06696008
0.7479372366,84.74629139
0.7518945765,32.62893322
0.7558519163,9.225883794
0.7598092562,63.56213981
0.7637665961,62.86787175
0.767723936,25.44728952
0.7716812758,29.91517763
0.7756386157,43.80830946
0.7795959556,34.58517916
0.7835532955,37.8479843
0.7875106354,42.18715277
0.7914679752,14.30176793
0.7954253151,37.40176988
0.799382655,55.85382117
0.8033399949,63.28144306
0.8072973347,51.82204802
0.8112546746,13.31904636
0.8152120145,17.14184549
0.8191693544,16.63409976
0.8231266942,38.94843064
0.8270840341,26.51772767
0.831041374,11.39019889
0.8349987139,3.859221558
0.8389560537,11.29947908
0.8429133936,28.9133698
0.8468707335,30.22969941
0.8508280734,11.39513789
0.8547854132,11.55341682
0.8587427531,16.85310401
0.862700093,26.26239574
0.8666574329,31.3190454
0.8706147727,57.43807193
0.8745721126,85.32565683
0.8785294525,46.8311315
0.8824867924,5.900974005
0.8864441323,38.63404439
0.8904014721,86.29797647
0.894358812,42.14090578
0.8983161519,34.92135774
0.9022734918,50.82636363
0.9062308316,8.810319323
0.9101881715,77.63989995
0.9141455114,79.54085022
0.9181028513,75.28684065
0.9220601911,42.98007809
0.926017531,41.432483
0.9299748709,31.85804768
0.9339322108,27.17137572
0.9378895506,67.25948286
0.9418468905,105.8154786
0.9458042304,90.98750959
0.9497615703,56.66692028
0.9537189101,63.93046621
0.95767625,81.97148514
0.9616335899,66.78567325
0.9655909298,57.1837969
0.9695482697,38.74175708
0.9735056095,32.43243204
0.9774629494,10.68993441
0.9814202893,19.35835947
0.9853776292,27.46054915
0.989334969,16.31387088
0.9932923089,33.89129346
0.9972496488,35.9778414
1.001206989,23.00967571
1.005164329,38.23667169
1.009121668,61.27378281
1.013079008,87.16010509
1.017036348,78.18570784
1.020993688,29.02986462
1.024951028,41.59818685
1.028908368,79.82900751
1.032865708,85.6312638
1.036823048,52.24226742
1.040780387,48.37983759
1.044737727,97.78495491
1.048695067,130.4939772
1.052652407,109.1173206
1.056609747,75.8633342
1.060567087,61.07779143
1.064524427,64.81118549
1.068481767,54.0742579
1.072439106,34.17403565
1.076396446,52.44018728
1.080353786,77.42100161
1.084311126,69.80508867
1.088268466,68.99498839
1.092225806,8.531229404
1.096183146,34.19053981
1.100140486,78.16598738
1.104097825,58.28461118
1.108055165,36.3834666
1.112012505,44.72606894
1.115969845,71.09401853
1.119927185,73.89253422
1.123884525,44.20453079
1.127841865,30.13343397
1.131799205,19.06566328
1.135756544,18.93909297
1.139713884,66.36258732
1.143671224,94.01323835
1.147628564,98.70376244
1.151585904,100.9369707
1.155543244,78.57055486
1.159500584,53.82798541
1.163457924,32.89155551
1.167415263,44.03286201
1.171372603,58.94888355
1.175329943,73.73220508
1.179287283,56.02604383
1.183244623,48.65014052
1.187201963,22.68977423
1.191159303,9.077378007
1.195116643,20.83505409
1.199073982,25.90568601
1.203031322,24.41478444
1.206988662,32.91562248
1.210946002,26.40674227
1.214903342,44.30015453
1.218860682,41.05326025
1.222818022,56.82101865
1.226775362,76.21595769
1.230732701,39.66820053
1.234690041,23.03204882
1.238647381,57.83358277
1.242604721,71.79283219
1.246562061,62.83737365
1.250519401,62.13306997
1.254476741,76.8070354
1.258434081,94.63443544
1.26239142,80.71434659
1.26634876,57.5204402
1.2703061,47.85664724
1.27426344,28.59632604
1.27822078,18.34566929
1.28217812,41.315045
1.28613546,42.96489589
1.2900928,47.24958315
1.294050139,62.65376306
1.298007479,61.92785514
1.301964819,78.16060541
1.305922159,70.52567555
1.309879499,34.60731739
1.313836839,10.74940429
1.317794179,50.94183664
1.321751519,78.22958692
1.325708859,73.14981916
1.329666198,54.0430385
1.333623538,34.08713221
1.337580878,36.37245939
1.341538218,30.9371731
1.345495558,6.254675734
1.349452898,43.83118739
1.353410238,62.34449936
1.357367578,41.55190662
1.361324917,38.33480826
1.365282257,52.67511525
1.369239597,44.74288268
1.373196937,51.3703811
1.377154277,52.18490385
1.381111617,49.09283708
1.385068957,50.06305418
1.389026297,18.52439612
1.392983636,27.59670664
1.396940976,50.18235516
1.400898316,49.73720397
1.404855656,40.52792568
1.408812996,25.04433375
1.412770336,9.643618555
1.416727676,26.39529146
1.420685016,33.84701574
1.424642355,42.92470937
1.428599695,39.20062604
1.432557035,62.00154083
1.436514375,64.46941491
1.440471715,47.84663155
1.444429055,14.3082707
1.448386395,13.84338726
1.452343735,24.91980353
1.456301074,19.96380682
1.460258414,32.60412444
1.464215754,30.6097465
1.468173094,21.1338522
1.472130434,35.2685985
1.476087774,21.62815688
1.480045114,15.33057323
1.484002454,18.37465198
1.487959793,29.93490873
1.491917133,41.56756023
1.495874473,57.57293935
1.499831813,48.772824
1.503789153,31.36552157
1.507746493,27.25673474
1.511703833,22.54968562
1.515661173,7.137724489
1.519618512,12.4093958
1.523575852,21.77542666
1.527533192,37.21157142
1.531490532,58.02998125
1.535447872,59.14711501
1.539405212,30.4675194
1.543362552,23.25634886
1.547319892,13.5731463
1.551277231,11.41559584
1.555234571,15.47233353
1.559191911,5.820281219
1.563149251,20.77871129
1.567106591,35.22217707
1.571063931,52.28467766
1.575021271,62.34638113
1.578978611,42.98984647
1.58293595,22.46520273
1.58689329,14.16515284
1.59085063,14.73887449
1.59480797,21.52486516
1.59876531,24.49922278
1.60272265,33.28675852
1.60667999,59.28278971
1.61063733,70.37003901
1.614594669,72.55735039
1.618552009,68.13231525
1.622509349,57.96399024
1.626466689,46.20825167
1.630424029,21.52865052
1.634381369,29.73676824
1.638338709,29.68471833
1.642296049,37.34504168
1.646253388,39.01692452
1.650210728,33.32701118
1.654168068,26.69018337
1.658125408,7.409206496
1.662082748,26.85977559
1.666040088,33.79507825
1.669997428,20.55921747
1.673954768,17.75692533
1.677912107,3.840589948
1.681869447,44.41857598
1.685826787,48.99193163
1.689784127,25.69035971
1.693741467,5.332115295
1.697698807,32.91994054
1.701656147,48.22893179
1.705613487,38.86485501
1.709570826,26.80988035
1.713528166,16.73770774
1.717485506,6.608032742
1.721442846,17.74791494
1.725400186,10.70144603
1.729357526,43.99732879
1.733314866,54.89343163
1.737272206,43.76964201
1.741229545,35.53425076
1.745186885,23.49176764
1.749144225,19.53814501
1.753101565,24.74147144
1.757058905,21.81111373
1.761016245,19.43405109
1.764973585,23.00719775
1.768930925,12.36961634
1.772888265,6.964213893
1.776845604,10.43584305
1.780802944,22.90866282
1.784760284,26.54590167
1.788717624,27.07291445
1.792674964,21.44398636
1.796632304,11.11155924
1.800589644,26.11541784
1.804546984,33.76892903
1.808504323,36.93089803
1.812461663,28.34878725
1.816419003,16.32264289
1.820376343,18.88126936
1.824333683,25.18084606
1.828291023,29.8944332
1.832248363,29.48841674
1.836205703,32.1754543
1.840163042,33.37604584
1.844120382,34.11014603
1.848077722,23.22770103
1.852035062,10.69963234
1.855992402,4.296900092
1.859949742,3.839861595
1.863907082,17.43019465
1.867864422,22.44273676
1.871821761,18.45193065
1.875779101,14.86279112
1.879736441,22.72621915
1.883693781,35.49681688
1.887651121,40.9059453
1.891608461,43.8602322
1.895565801,38.0593819
1.899523141,15.83432619
1.90348048,25.02264107
1.90743782,58.27549289
1.91139516,65.86972682
1.9153525,43.51745968
1.91930984,24.1736786
1.92326718,47.89696131
1.92722452,53.91192405
1.93118186,41.694841
1.935139199,32.16508687
1.939096539,24.278104
1.943053879,15.1800841
1.947011219,24.15527951
1.950968559,27.77874651
1.954925899,24.15573026
1.958883239,14.90273594
1.962840579,14.58673851
1.966797918,13.56113758
1.970755258,9.075657077
1.974712598,15.72164072
1.978669938,18.44307604
1.982627278,16.33297501
1.986584618,11.52442708
1.990541958,0.5935640207
1.994499298,5.004591405
1.998456637,3.058070235
2.002413977,15.84214044
2.006371317,27.07711797
2.010328657,28.56527587
2.014285997,24.98415831
2.018243337,19.05844027
2.022200677,13.03526245
2.026158017,14.65856097
2.030115356,8.743091371
2.034072696,12.91923685
2.038030036,21.05667434
2.041987376,22.29015517
2.045944716,20.86234915
2.049902056,15.57731004
2.053859396,8.466438166
2.057816736,20.56662059
2.061774075,14.61092529
2.065731415,6.594653272
2.069688755,9.00061958
2.073646095,20.62757693
2.077603435,32.44531371
2.081560775,32.86812858
2.085518115,28.76237841
2.089475455,21.98976653
2.093432794,3.52829898
2.097390134,19.53482887
2.101347474,34.26408742
2.105304814,34.58150294
2.109262154,23.54839608
2.113219494,12.58662173
2.117176834,10.21899318
2.121134174,4.33878575
2.125091513,3.188594089
2.129048853,2.103894476
2.133006193,9.654463127
2.136963533,16.24188169
2.140920873,20.4665788
2.144878213,18.64979653
2.148835553,8.821863766
2.152792893,14.40957407
2.156750232,15.67942889
2.160707572,15.33523063
2.164664912,20.46280062
2.168622252,23.04067669
2.172579592,25.45337128
2.176536932,25.199466
2.180494272,27.0113346
2.184451612,22.53062038
2.188408952,15.14689913
2.192366291,6.912698534
2.196323631,6.537768053
2.200280971,0.2042781972
2.204238311,10.50400217
2.208195651,13.24597961
2.212152991,10.21813751
2.216110331,15.24185549
2.220067671,13.93766285
2.22402501,9.40423759
2.22798235,10.71987151
2.23193969,6.289138979
2.23589703,5.651561597
2.23985437,11.1960584
2.24381171,22.95059348
2.24776905,23.01013836
2.25172639,16.56941134
2.255683729,15.98680357
2.259641069,19.08886388
2.263598409,17.5590485
2.267555749,13.27244742
2.271513089,11.82147484
2.275470429,16.05079175
2.279427769,15.64159584
2.283385109,10.70279417
2.287342448,10.26064163
2.291299788,19.22838354
2.295257128,31.64157334
2.299214468,31.02762623
2.303171808,24.13463767
