f[Hz],a[g]
0.0,-0.2327786996
0.05005005005,0.1408347519
0.1001001001,0.0
0.1501501502,0.0
0.2002002002,0.0
0.2502502503,-3.53283493
0.3003003003,13.73226834
0.3503503504,34.87225625
0.4004004004,-33.79542431
0.4504504505,-5.740183764
0.5005005005,-5.272946393
0.5505505506,65.66996676
0.6006006006,-55.49881825
0.6506506507,-3.115669621
0.7007007007,51.13651216
0.7507507508,-23.50999635
0.8008008008,-1.447514941
0.8508508509,32.82250501
0.9009009009,-6.574552181
0.950950951,-39.40949301
1.001001001,43.0707421
1.051051051,1.280770729
1.101101101,-76.36618761
1.151151151,35.05264344
1.201201201,55.66295744
1.251251251,-83.76714847
1.301301301,-3.772714337
1.351351351,-86.25257484
1.401401401,39.99994644
1.451451451,-38.2482166
1.501501502,-10.40604227
1.551551552,39.31190234
1.601601602,-51.99501463
1.651651652,73.06140623
1.701701702,-22.76083907
1.751751752,47.82817595
1.801801802,-52.17167057
1.851851852,-11.71139031
1.901901902,35.01622627
1.951951952,-13.13091225
2.002002002,6.862601759
2.052052052,-24.40479997
2.102102102,41.86607895
2.152152152,-15.99416916
2.202202202,-27.59471839
2.252252252,-19.03758292
2.302302302,47.10851604
2.352352352,-9.66034468
2.402402402,-8.721184307
2.452452452,9.766329453
2.502502503,-24.55634608
2.552552553,26.5147897
2.602602603,-15.25107269
2.652652653,10.33049636
2.702702703,17.08192297
2.752752753,-24.30332576
2.802802803,7.08575633
2.852852853,1.359221047
2.902902903,-19.71344363
2.952952953,50.45944028
3.003003003,2.535955543
3.053053053,-13.22243683
3.103103103,-28.25773556
3.153153153,19.32399182
3.203203203,7.18976951
3.253253253,-14.42866761
3.303303303,34.07782209
3.353353353,-10.98419096
3.403403403,-30.61488434
3.453453453,21.05228971
3.503503504,-0.09718718153
3.553553554,-7.931302586
3.603603604,-1.523226099
3.653653654,21.64357314
3.703703704,-4.917683797
3.753753754,-21.27281217
3.803803804,1.275824794
3.853853854,26.82803232
3.903903904,-12.19683532
3.953953954,-19.5803958
4.004004004,8.288606522
4.054054054,5.860259366
4.104104104,8.516715769
4.154154154,6.535667557
4.204204204,-15.46522046
4.254254254,3.722965701
4.304304304,-2.701348216
4.354354354,-20.61102339
4.404404404,2.646803273
4.454454454,43.88903934
4.504504505,-6.136182607
4.554554555,-20.90431203
4.604604605,3.550241762
4.654654655,3.225257355
4.704704705,-4.487948672
4.754754755,0.4338878193
4.804804805,9.959890189
4.854854855,11.22423245
4.904904905,-24.09586975
4.954954955,-4.316652707
5.005005005,30.60801217
5.055055055,-10.77034895
5.105105105,-12.14945174
5.155155155,-5.679314688
5.205205205,-2.776298352
5.255255255,7.944823434
5.305305305,14.9342318
5.355355355,-6.419813957
5.405405405,-24.88891975
5.455455455,15.01188591
5.505505506,11.81219335
5.555555556,-25.59544018
5.605605606,17.51048029
5.655655656,-11.58049904
5.705705706,21.33629381
5.755755756,-6.078981522
5.805805806,-16.623141
5.855855856,-3.818581665
5.905905906,4.854994304
5.955955956,12.34898981
6.006006006,-1.991097523
6.056056056,3.275059979
6.106106106,-19.35952893
6.156156156,5.492600888
6.206206206,8.309491862
6.256256256,3.450433293
6.306306306,-26.7156865
6.356356356,0.8450963226
6.406406406,38.62786668
6.456456456,-14.54161433
6.506506507,5.290962101
6.556556557,-0.4971382162
6.606606607,-24.34934875
