t[s],a[g]
3.48,-0.303263788
3.5,-0.07197118085
3.52,-0.05298550671
3.54,0.1388503873
3.56,0.5950013919
3.58,0.4907440628
3.6,0.879744031
3.62,1.252594854
3.64,1.269009942
3.66,1.196325179
3.68,0.6999940321
3.7,0.6117238187
3.72,0.6373771898
3.74,0.5731717432
3.76,0.7138996399
3.78,0.1643380267
3.8,-0.05902826965
3.82,-0.0463992544
3.84,-0.1175245535
3.86,-0.3986329726
3.88,-0.8267766361
3.9,-0.3157681383
3.92,-0.05956451346
3.94,-0.1135835299
3.96,0.543303975
3.98,0.8545425829
4.0,0.9674952222
4.02,0.7880222307
4.04,0.3519211006
4.06,0.4316612553
4.08,0.1565738152
4.1,0.2871161567
4.12,0.8290968472
4.14,0.4142629938
4.16,0.4294586748
4.18,0.6387201729
4.2,0.05863049618
4.22,-0.02808040932
4.24,0.2056384346
4.26,-0.02391092082
4.28,-0.401358646
4.3,-0.2578056204
4.32,-0.2412366141
4.34,-0.3602607567
4.36,-0.4657004495
4.38,-0.7876556958
4.4,-0.7557339741
4.42,-0.6837415874
4.44,-0.8569018064
4.46,-0.4813805749
4.48,-0.2594515009
4.5,-0.1025529242
4.52,0.07506992346
4.54,-0.2212598104
4.56,0.08367765172
4.58,0.4068275271
4.6,0.140576593
4.62,0.01208022978
4.64,-0.06177809098
4.66,-0.1714979147
4.68,-0.3819283593
4.7,-0.7342800562
4.72,-0.7004860618
4.74,-0.3125744172
4.76,-0.2502962048
4.78,-0.006211468763
4.8,0.05469092199
4.82,-0.351557168
4.84,-0.1316672886
4.86,0.2959812611
4.88,0.03772125392
4.9,-0.2121619554
4.92,-0.7727751329
4.94,-1.299077416
4.96,-0.9500993411
4.98,-0.8266506277
5.0,-0.3263553719
5.02,0.2021866329
5.04,0.3069479738
5.06,0.9515790292
5.08,0.9470208164
5.1,0.4552339447
5.12,0.410721424
5.14,0.1735863983
5.16,0.01363808148
5.18,-0.08834219368
5.2,0.0926843643
5.22,0.6918746491
5.24,0.5035753708
5.26,0.2022485117
5.28,0.1814837984
5.3,-0.4230957655
5.32,-0.6460261847
5.34,-0.08264899914
5.36,0.4434885266
5.38,0.2481690117
5.4,0.227760961
5.42,0.4492124978
5.44,0.4005168437
5.46,0.3374382187
5.48,0.5238207782
5.5,0.7893900807
5.52,0.7589771398
5.54,0.1687564188
5.56,-0.2264009624
5.58,-0.1622365269
5.6,-0.3151599756
5.62,-0.2920137042
5.64,-0.1931955559
5.66,-0.1942682
5.68,-0.6051166491
5.7,-0.8766041291
5.72,-0.4878165458
5.74,-0.3736411263
5.76,-0.251017205
5.78,-0.1853177371
5.8,-0.1965616357
5.82,0.0004698482178
5.84,0.1181644359
5.86,0.04187080358
5.88,0.1710411876
5.9,0.234286384
5.92,0.2121568595
5.94,0.06110594159
5.96,0.1545523751
5.98,0.6534849271
6.0,0.53904092
6.02,0.5625660683
6.04,1.179890433
6.06,1.278299151
6.08,0.9524484878
6.1,0.8577997487
6.12,0.5650108461
6.14,0.2886063123
6.16,0.2281821293
6.18,0.3187566946
6.2,0.6361091488
6.22,0.5769468303
6.24,0.2272826131
6.26,0.2013403933
6.28,0.07857100281
6.3,0.03601452076
6.32,-0.01971936344
6.34,-0.5021952966
6.36,-0.8925115933
6.38,-1.28512548
6.4,-1.48815193
6.42,-1.564771949
6.44,-1.521750937
6.46,-1.04422601
6.48,-0.9226041569
6.5,-1.150052457
6.52,-0.9572222746
6.54,-0.9138470677
6.56,-0.6892478159
6.58,-0.2533247581
6.6,-0.2813726517
6.62,-0.3318474759
6.64,-0.2819673867
6.66,-0.1365941867
6.68,-0.1921144471
6.7,-0.37538071
6.72,0.05743246647
6.74,0.394327294
6.76,0.2286955908
6.78,0.06557109215
6.8,0.08279525064
6.82,0.04501428737
6.84,-0.06599527085
6.86,0.2063899749
6.88,0.8946767795
6.9,1.086716027
6.92,0.7708401916
6.94,0.6696252847
6.96,0.482452263
6.98,-0.08532298506
7.0,-0.5591631794
7.02,-0.6153573729
7.04,-0.4296781664
7.06,0.07133158353
7.08,0.6219530812
7.1,0.6831299956
7.12,0.7136788397
7.14,0.6182549954
7.16,0.5533036685
7.18,0.8389013274
7.2,0.8132449151
7.22,0.9289768101
7.24,0.8520217226
7.26,0.2547639788
7.28,-0.2744615929
7.3,-0.480459378
7.32,-0.391581534
7.34,-0.04678941137
7.36,0.06121744592
7.38,0.1272790487
7.4,0.204569851
7.42,0.05994658149
7.44,-0.1655998032
7.46,0.01079981161
7.48,0.1007019707
7.5,-0.270436834
7.52,-0.4708980152
7.54,-0.5721133015
7.56,-0.7584823762
7.58,-0.6303222199
7.6,-0.7988678064
7.62,-0.5059396234
7.64,0.1503581776
7.66,0.07584857141
7.68,0.3664691999
7.7,0.5764297953
7.72,0.1075107716
7.74,0.2925145102
7.76,0.4776913452
7.78,0.3987370698
7.8,0.7841503214
7.82,0.7184137615
7.84,0.4151967347
7.86,0.2803743142
7.88,0.006717126176
7.9,0.04976626979
7.92,0.1343264723
7.94,0.3307085202
7.96,0.3819632579
7.98,0.007814657019
8.0,-0.2982401846
8.02,-0.2206496952
8.04,-0.1373054118
8.06,-0.04133078873
8.08,0.2131647756
8.1,0.3675928714
8.12,0.3202765762
8.14,0.2425698153
8.16,0.2613212924
8.18,-0.1751742201
8.2,-0.1399444332
8.22,0.2093600095
8.24,-0.07245802703
8.26,-0.1649250013
8.28,-0.07498215719
8.3,-0.3354419794
8.32,-0.3320047482
8.34,0.02853165777
8.36,0.3234639675
8.38,0.308002268
8.4,0.03937805085
8.42,0.03778472252
8.44,0.08589497587
8.46,-0.3691506851
8.48,-0.7244564314
8.5,-0.6677698897
8.52,-0.6557904923
8.54,-0.5355124214
8.56,-0.4138248861
8.58,-0.6726969296
8.6,-0.7119544327
8.62,-0.370423965
8.64,-0.23036921
8.66,-0.04808054447
8.68,0.09690067812
8.7,-0.1707351557
8.72,-0.2775192514
8.74,-0.5077858026
8.76,-0.9383893657
8.78,-0.5635399927
8.8,-0.1780929445
8.82,-0.117080086
8.84,0.08570808265
8.86,-0.0249790299
8.88,-0.2147381657
8.9,-0.315866527
8.92,-0.4593310254
8.94,-0.1072337738
8.96,0.04359708543
8.98,-0.008965632776
9.0,0.1858791871
9.02,0.06413428662
9.04,-0.1594117804
9.06,-0.1113532318
9.08,-0.1369590428
9.1,-0.1181017719
9.12,0.1401789266
9.14,0.1803193892
9.16,0.1259329521
9.18,-0.03913207903
9.2,-0.1655520557
9.22,-0.07297783885
9.24,-0.005832642769
9.26,-0.14375377
9.28,-0.1411145703
9.3,0.01022353114
9.32,0.2199866756
9.34,0.4239358017
9.36,0.3492600652
9.38,0.2725372035
9.4,0.2147086654
9.42,-0.1742420528
9.44,-0.2651221619
9.46,-0.1280977401
9.48,-0.1843352814
9.5,0.0847978617
9.52,0.2483965821
9.54,0.1499718959
9.56,-0.05531389216
9.58,-0.2791247374
9.6,-0.1982279096
9.62,-0.09010131653
9.64,-0.1601115314
9.66,-0.05903690997
9.68,0.1026887057
9.7,0.1956206582
9.72,0.1681724231
9.74,-0.002956870367
9.76,-0.1197435266
9.78,0.02574264442
9.8,0.3322677082
9.82,0.3224608829
9.84,0.1531319845
9.86,0.2725873128
9.88,0.3091436944
9.9,0.3776734581
9.92,0.4529511077
9.94,0.5495381744
9.96,0.7282468806
9.98,0.5933044544
10.0,0.5966773458
10.02,0.5486400689
10.04,0.1791608012
10.06,0.2648636389
10.08,0.2311825657
10.1,-0.009475863638
10.12,0.1096592391
10.14,0.1323603857
10.16,-0.1043649159
10.18,-0.2586143683
10.2,-0.1652814435
10.22,0.1588182688
10.24,0.4048523287
10.26,0.6096496993
10.28,0.7593830436
10.3,0.5797542177
10.32,0.1883017891
