t[s],a[g]
3.46,-0.2547211472
3.48,-0.4143307383
3.5,-0.2454065073
3.52,-0.09757637452
3.54,0.1713041669
3.56,0.6053812217
3.58,0.5097116224
3.6,0.7577802065
3.62,1.048668879
3.64,1.140366498
3.66,1.066303008
3.68,0.5492025259
3.7,0.4801575042
3.72,0.5605602662
3.74,0.5483123483
3.76,0.7596874019
3.78,0.3362838664
3.8,0.1387794586
3.82,0.08922041848
3.84,-0.0400254634
3.86,-0.3263655815
3.88,-0.7783840936
3.9,-0.410646725
3.92,-0.1811630986
3.94,-0.266033368
3.96,0.2532159218
3.98,0.579759837
4.0,0.6650832064
4.02,0.5529313924
4.04,0.2985841183
4.06,0.2551714799
4.08,-0.07210023944
4.1,0.0764195234
4.12,0.5024652393
4.14,0.1934793503
4.16,0.2486798442
4.18,0.4096078879
4.2,-0.02002338449
4.22,-0.08523235927
4.24,0.127192684
4.26,-0.0197493316
4.28,-0.4579388425
4.3,-0.3955163021
4.32,-0.3119832296
4.34,-0.3235833209
4.36,-0.2938082708
4.38,-0.4991308684
4.4,-0.5246715802
4.42,-0.4708729064
4.44,-0.5584062616
4.46,-0.2272941027
4.48,0.05676399552
4.5,0.2880956232
4.52,0.3131152395
4.54,-0.02617013343
4.56,0.1883767131
4.58,0.2584147956
4.6,-0.0952353066
4.62,-0.1746064221
4.64,-0.05754051338
4.66,-0.00672782691
4.68,-0.2020908284
4.7,-0.4627747568
4.72,-0.4929885934
4.74,-0.2219925354
4.76,-0.04930301094
4.78,0.141070594
4.8,0.09367766447
4.82,-0.2278636372
4.84,-0.04324557434
4.86,0.3907110556
4.88,0.2388177679
4.9,-0.07640669347
4.92,-0.6082867951
4.94,-0.9996267824
4.96,-0.5768038233
4.98,-0.3588463138
5.0,0.03326398833
5.02,0.3360773412
5.04,0.2542553734
5.06,0.5976365934
5.08,0.5119416961
5.1,0.1328297317
5.12,0.1141788376
5.14,-0.03695162592
5.16,-0.2483032466
5.18,-0.4475541529
5.2,-0.2480428735
5.22,0.2709658641
5.24,0.1907872457
5.26,0.1101730376
5.28,0.1024511686
5.3,-0.464010755
5.32,-0.6772888234
5.34,-0.1869138793
5.36,0.3855684605
5.38,0.2601144149
5.4,0.2737204698
5.42,0.5303464977
5.44,0.5083293786
5.46,0.4074455047
5.48,0.5504062201
5.5,0.8149864704
5.52,0.8153129462
5.54,0.3145691973
5.56,-0.05651313691
5.58,0.001048018358
5.6,-0.1545935585
5.62,-0.2577160592
5.64,-0.2750934628
5.66,-0.2980518453
5.68,-0.7264977695
5.7,-0.9751053185
5.72,-0.55722292
5.74,-0.4287732729
5.76,-0.3399355708
5.78,-0.3147825258
5.8,-0.1932773419
5.82,0.1431881743
5.84,0.3976711041
5.86,0.4659451548
5.88,0.5608679322
5.9,0.4648671541
5.92,0.3166307726
5.94,0.1168343097
5.96,0.1159139012
5.98,0.4767896503
6.0,0.3062234688
6.02,0.2302507124
6.04,0.7800961446
6.06,1.042432193
6.08,0.8479695711
6.1,0.8056070889
6.12,0.5791512887
6.14,0.2561601841
6.16,0.0900490598
6.18,0.1310353679
6.2,0.4033664168
6.22,0.3069429046
6.24,-0.03847529101
6.26,-0.03230746847
6.28,-0.1303921974
6.3,-0.1757095811
6.32,-0.2058196677
6.34,-0.591069188
6.36,-0.8373658995
6.38,-1.078075978
6.4,-1.239846949
6.42,-1.375790673
6.44,-1.331899781
6.46,-0.9823727303
6.48,-1.025613696
6.5,-1.234032272
6.52,-0.9993500038
6.54,-0.8890533205
6.56,-0.5834163266
6.58,-0.128049623
6.6,-0.1563523244
6.62,-0.2983607349
6.64,-0.2627029706
6.66,0.04030817477
6.68,0.108377969
6.7,0.01924541626
6.72,0.4670690361
6.74,0.7360899221
6.76,0.5175762656
6.78,0.2698300956
6.8,0.302804803
6.82,0.354748421
6.84,0.3295063402
6.86,0.5914120009
6.88,1.071841428
6.9,1.052904901
6.92,0.6332607392
6.94,0.5316620444
6.96,0.4668441543
6.98,0.01592661565
7.0,-0.4910150744
7.02,-0.6214278399
7.04,-0.4617795265
7.06,-0.01242963269
7.08,0.605447485
7.1,0.8017012894
7.12,0.8206495452
7.14,0.659405031
7.16,0.5095669078
7.18,0.636052006
7.2,0.4459561358
7.22,0.5473512862
7.24,0.6240656778
7.26,0.2524073553
7.28,-0.1338830982
7.3,-0.1841295313
7.32,-0.06416991547
7.34,0.1399178545
7.36,0.09587611853
7.38,0.06159311821
7.4,0.09472250431
7.42,0.03623548345
7.44,-0.1103994886
7.46,-0.02166993385
7.48,-0.03166414509
7.5,-0.4690644783
7.52,-0.8234650102
7.54,-0.8295251882
7.56,-0.8019354176
7.58,-0.6102949981
7.6,-0.7388449775
7.62,-0.505932847
7.64,-0.04031358155
7.66,-0.224756151
7.68,0.08496638122
7.7,0.4063523488
7.72,-0.02280248643
7.74,0.1706654729
7.76,0.4192054354
7.78,0.2187944648
7.8,0.4867073599
7.82,0.4690016992
7.84,0.1342441614
7.86,-0.07303175
7.88,-0.2848936097
7.9,-0.150310086
7.92,-0.1166800547
7.94,0.1279451777
7.96,0.2085469626
7.98,-0.224689641
8.0,-0.4952573071
8.02,-0.3061333624
8.04,-0.2992149723
8.06,-0.3670348204
8.08,-0.1530972661
8.1,-0.0279930486
8.12,0.0157762154
8.14,0.2069838118
8.16,0.4258815787
8.18,-0.1167208714
8.2,-0.05134852151
8.22,0.3703475279
8.24,-0.001761907538
8.26,-0.0671564105
8.28,0.1525842735
8.3,-0.09416842682
8.32,-0.2232483729
8.34,0.1180081494
8.36,0.3903851079
8.38,0.1209384819
8.4,-0.09604925045
8.42,0.3451269607
8.44,0.6612390913
8.46,0.265372115
8.48,-0.0881897816
8.5,-0.164970105
8.52,-0.2896059858
8.54,-0.09683870614
8.56,0.08917258859
8.58,-0.2126010518
8.6,-0.2134209216
8.62,0.09941102928
8.64,0.1018570695
8.66,0.1800335266
8.68,0.2065347787
8.7,-0.1476546175
8.72,-0.21803752
8.74,-0.3965144643
8.76,-0.898764706
8.78,-0.5767397909
8.8,-0.2228693338
8.82,-0.3233454068
8.84,-0.3698967736
8.86,-0.533753165
8.88,-0.6740496219
8.9,-0.801901928
8.92,-0.8394677401
8.94,-0.2110616116
8.96,-0.04831577042
8.98,-0.06865315883
9.0,0.3049749548
9.02,0.2030000964
9.04,-0.04415992591
9.06,0.04847436452
9.08,0.01600636962
9.1,-0.03851369134
9.12,0.3286967699
9.14,0.5701061808
9.16,0.6074628276
9.18,0.3638065503
9.2,0.2535564648
9.22,0.3218216193
9.24,0.2766848475
9.26,-0.0250492207
9.28,-0.1960150875
9.3,-0.0538439691
9.32,0.2765305217
9.34,0.5457888778
9.36,0.4019870713
9.38,0.2719967854
9.4,0.2623905668
9.42,-0.2685889734
9.44,-0.4199410886
9.46,-0.118719315
9.48,-0.2143492005
9.5,0.07018072814
9.52,0.2911391187
9.54,0.1279885462
9.56,-0.248378457
9.58,-0.535847257
9.6,-0.3668677377
9.62,-0.3149639881
9.64,-0.5690875512
9.66,-0.5164167004
9.68,-0.3122903706
9.7,-0.08107639441
9.72,0.002866734343
9.74,-0.2034704368
9.76,-0.4105165337
9.78,-0.2993142282
9.8,0.07104445196
9.82,-0.07295768159
9.84,-0.4422304069
9.86,-0.08737721161
9.88,0.1205406377
9.9,0.2415527788
9.92,0.348435957
9.94,0.2890439632
9.96,0.3306435077
9.98,0.1238810214
10.0,0.2783240428
10.02,0.4188911353
10.04,0.06738803667
10.06,0.3334071562
10.08,0.3166093863
10.1,-0.04574962621
10.12,0.1412623905
10.14,0.2990994337
10.16,-0.02014421553
10.18,-0.3491168408
10.2,-0.1848126055
10.22,0.3294511312
10.24,0.6749659564
10.26,1.053877949
10.28,1.326611317
10.3,1.119795279
10.32,0.6974452434
10.34,0.4496283022
10.36,0.4923387257
10.38,0.2599659069
10.4,0.1918419629
10.42,0.5318686093
10.44,0.4485111839
10.46,0.07563855057
10.48,0.1015778005
10.5,0.3787452856
10.52,0.2375200202
10.54,0.03755462142
10.56,0.03587160123
10.58,-0.2923344609
10.6,-0.3521987489
10.62,-0.1640736596
10.64,0.1573406518
10.66,0.5191149825
10.68,0.09157275332
10.7,-0.4036920346
10.72,-0.1851484329
10.74,-0.3476730537
10.76,-0.4837948182
10.78,-0.09131977969
10.8,0.01111791501
10.82,-0.08159973882
10.84,-0.2480251882
10.86,-0.08396422455
10.88,0.4995630692
10.9,0.3588647799
10.92,-0.03650193387
10.94,-0.2875923124
10.96,-0.3411711072
10.98,-0.5361355003
11.0,-0.648931201
11.02,-0.4944765543
11.04,-0.6962729992
11.06,-0.8218016709
11.08,-0.6804596315
11.1,-0.2560450329
11.12,0.09244749431
11.14,0.004228309444
11.16,0.01198207769
11.18,0.03317396973
11.2,-0.3099515515
11.22,-0.3054251287
11.24,-0.3222427659
11.26,-0.3710230641
11.28,-0.1623780797
11.3,-0.2787593516
11.32,-0.1890331093
11.34,0.05895411373
11.36,-0.06137324829
11.38,-0.2327026096
11.4,-0.1591032331
11.42,0.2120103041
11.44,0.6050342173
11.46,0.7607094347
11.48,0.7227455851
11.5,0.6592654278
11.52,0.4280596052
11.54,-0.1275692286
11.56,-0.2556271547
11.58,-0.5118598084
11.6,-0.9270367417
11.62,-0.6159242991
11.64,-0.05671730118
11.66,0.3101137342
11.68,0.7639852355
11.7,0.7561058787
11.72,0.3645154168
11.74,0.06789160709
11.76,0.1689817484
11.78,0.4310713123
11.8,0.08574830594
11.82,-0.09314008954
11.84,0.09972376014
11.86,0.1067580327
11.88,-0.186442873
11.9,-0.4159631852
11.92,-0.4250028929
11.94,-0.6560522389
11.96,-0.681548845
11.98,-0.004167176709
12.0,0.1128598543
12.02,0.01364378364
12.04,0.2764927419
12.06,-0.0431660621
12.08,-0.02065662779
12.1,-0.03689971756
12.12,-0.7388674899
12.14,-0.6215487851
12.16,-0.2836906812
12.18,-0.2446403507
12.2,-0.1785813992
12.22,-0.3863022162
12.24,-0.5223719102
12.26,-0.3696625575
12.28,-0.4551243797
12.3,-0.206046354
12.32,-0.1034785986
12.34,-0.135616592
12.36,-0.06403742008
12.38,-0.13789898
12.4,-0.2120096093
12.42,0.01405189333
12.44,0.3110232434
12.46,0.3460474583
12.48,0.2011103955
