f[Hz],a[cm/s^2]
0.0,0.000232
0.004011151,0.0001301065291
0.008022302,9.707621965e-05
0.012033453,0.0008207408659
0.016044604,0.001270237514
0.020055755,0.00304458655
0.024066906,0.005033425216
0.028078057,0.01598876587
0.032089208,0.00946417402
0.036100359,0.0106275732
0.04011151,0.04131122044
0.044122661,0.03702967764
0.048133812,0.06835772393
0.052144963,0.108491479
0.056156114,0.165281783
0.060167265,0.08774980419
0.064178416,0.07577448303
0.068189567,0.2552883444
0.072200718,0.3516151565
0.076211869,0.1815032367
0.08022302,0.20170564
0.084234171,0.2279881594
0.088245322,0.1620283131
0.09225647299,0.444147078
0.09626762399,0.1424281168
0.100278775,0.40461338
0.104289926,0.2692893875
0.108301077,0.3889951783
0.112312228,0.8322637019
0.116323379,0.5973147981
0.12033453,1.119299006
0.124345681,2.371484855
0.128356832,1.778551255
0.132367983,1.671225751
0.136379134,0.6111646141
0.140390285,1.585602094
0.144401436,0.5740124449
0.148412587,1.828154789
0.152423738,2.545837114
0.156434889,1.235946003
0.16044604,0.2974012702
0.164457191,0.8320454364
0.168468342,1.994796346
0.172479493,1.939657713
0.176490644,0.9458591802
0.180501795,2.11152082
0.184512946,0.7467357647
0.188524097,1.677565634
0.192535248,1.181215967
0.196546399,1.202543155
0.20055755,1.711193631
0.204568701,1.260622579
0.208579852,0.2611538582
0.212591003,1.011345768
0.216602154,0.8563627695
0.220613305,2.991626999
0.224624456,3.91057017
0.228635607,0.4874853247
0.232646758,1.15876358
0.236657909,0.6015619544
0.24066906,1.362856957
0.244680211,1.446415119
0.248691362,4.671375099
0.252702513,2.938518497
0.256713664,1.908529002
0.260724815,0.762559653
0.264735966,3.203925265
0.268747117,8.340654179
0.272758268,7.841372773
0.276769419,3.105503966
0.28078057,7.851642671
0.284791721,10.6394253
0.288802872,9.682566106
0.292814023,1.894008958
0.296825174,3.369968806
0.300836325,3.387802994
0.304847476,4.381929444
0.308858627,2.769280045
0.312869778,6.605529124
0.316880929,10.34735153
0.32089208,5.227198885
0.324903231,5.363336491
0.328914382,3.258941194
0.332925533,6.147257388
0.336936684,6.961227949
0.340947835,1.473283382
0.344958986,7.433069004
0.348970137,11.9492286
0.352981288,19.04755818
0.356992439,13.52012733
0.36100359,2.602741082
0.365014741,3.562261294
0.369025892,4.399230635
0.373037043,8.615085993
0.377048194,15.94891212
0.381059345,19.38224173
0.385070496,9.51048748
0.389081647,3.207154392
0.393092798,12.03595371
0.397103949,19.21743699
0.4011151,13.71042796
0.405126251,15.49953183
0.409137402,1.677347962
0.413148553,8.857284738
0.417159704,5.897116768
0.421170855,3.028078339
0.425182006,5.235236249
0.429193157,2.776636256
0.433204308,3.325359186
0.437215459,4.578123073
0.44122661,3.239194207
0.445237761,1.674491698
0.449248912,7.286479368
0.453260063,13.08639917
0.457271214,5.724305692
0.461282365,11.21338118
0.465293516,14.834634
0.469304667,18.57814133
0.473315818,16.72726697
0.477326969,8.596670799
0.48133812,8.167824018
0.485349271,4.75122585
0.489360422,4.591479504
0.493371573,1.824890292
0.497382724,7.956368318
0.501393875,3.757552932
0.505405026,5.670173516
0.509416177,14.33630094
0.513427328,22.07868111
0.517438479,19.50253803
0.52144963,15.90217176
0.525460781,25.90536235
0.529471932,29.10451099
0.533483083,24.20187716
0.537494234,10.24577526
0.541505385,15.54650804
0.545516536,14.68887798
0.549527687,22.42437027
0.553538838,11.27513521
0.557549989,21.71781841
0.56156114,27.84645888
0.565572291,30.77388371
0.569583442,30.61814134
0.573594593,25.00714923
0.577605744,39.61180607
0.581616895,30.68041105
0.585628046,25.56995496
0.589639197,26.51673578
0.593650348,27.3686257
0.597661499,23.74857599
0.60167265,10.21606687
0.605683801,6.66220939
0.609694952,5.126655719
0.613706103,4.848054769
0.617717254,2.584194098
0.621728405,11.54015526
0.625739556,18.03503378
0.629750707,18.89568087
